Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
466,1 3 7 8,7.26,89.20%,7.47,3.5
467,5 6 11 13,7.26,91.70%,7.8,3.35
468,3 5 5 12,7.27,89.10%,7.61,3.31
469,3 7 11 12,7.27,90.70%,7.79,3.57
470,3 9 10 11,7.27,93.10%,7.65,2.96
471,5 10 11 11,7.28,90.40%,7.53,2.8
472,1 6 6 9,7.29,90.50%,7.76,3.33
473,10 12 12 13,7.29,90.10%,7.72,3.5
474,1 1 6 8,7.3,94.80%,7.64,2.54
475,1 6 8 13,7.3,94.30%,7.74,2.86
476,5 5 7 8,7.3,92.50%,7.75,2.96
477,2 6 7 9,7.31,96%,7.81,3.03
478,3 5 13 13,7.31,94.20%,7.75,3.08
479,4 7 11 11,7.31,86.30%,7.44,3.39
480,5 5 9 9,7.31,85.40%,7.61,3.41
481,7 9 10 12,7.31,94.10%,7.85,3.2
482,1 7 9 13,7.32,93.70%,7.56,2.57
483,2 2 3 9,7.32,94.60%,7.77,2.89
484,2 4 10 12,7.32,96.60%,8,3.16
485,3 4 8 10,7.33,93.40%,7.71,3.22
486,1 8 9 11,7.34,92.80%,7.67,3.1
487,2 3 3 11,7.34,89.30%,7.59,3.24
488,3 6 6 6,7.34,94.40%,7.78,3.18
489,1 8 11 12,7.35,91.50%,7.86,3.49
490,2 7 8 13,7.35,94%,7.86,3.11
491,3 3 9 9,7.35,96%,7.74,2.78
492,4 5 5 8,7.35,87.80%,7.48,2.94
493,7 10 10 11,7.35,93.50%,7.69,2.96
494,2 3 7 12,7.37,94.80%,7.84,3.06
495,3 6 8 8,7.37,92.80%,7.73,2.97
496,4 4 5 8,7.37,96%,7.73,2.55
497,5 6 8 8,7.37,92.10%,7.73,2.93
498,10 11 11 12,7.38,96.80%,7.85,2.8
499,2 5 6 8,7.39,95.50%,7.95,3.04
500,3 3 4 5,7.39,93.90%,7.83,3.22
501,3 5 6 8,7.39,93.50%,7.86,3.2
502,5 8 8 10,7.39,91.40%,7.87,3.42
503,1 11 12 13,7.4,94%,7.84,3.22
504,3 9 11 11,7.41,85.70%,7.55,3.29
505,6 8 13 13,7.41,93.20%,7.85,3.08
506,2 10 10 11,7.42,85.10%,7.29,2.94
507,2 2 4 7,7.43,95.20%,8.07,3.14
508,3 5 10 12,7.45,94.80%,8.04,3.17
509,5 5 10 11,7.45,87.70%,7.82,3.53
510,1 2 3 7,7.46,96.20%,8.14,3.17
511,3 9 13 13,7.46,86.30%,7.65,3.33
512,2 6 9 11,7.47,95.80%,7.96,3.14
513,3 3 10 13,7.47,89.30%,7.75,3.51
514,1 4 4 4,7.48,95.80%,7.93,2.87
515,1 7 9 9,7.48,94.60%,7.91,3.16
516,2 4 8 10,7.48,97.70%,7.96,2.62
517,5 7 13 13,7.48,94.30%,7.9,3.21
518,7 10 12 12,7.48,84.60%,7.65,3.77
519,4 4 4 7,7.49,91.20%,7.87,3.4
520,6 6 6 9,7.49,89.70%,8.04,3.91
521,1 4 5 5,7.5,95.80%,7.94,2.71
522,2 6 6 6,7.5,95.90%,8.07,3.09
523,3 4 4 7,7.5,90.50%,7.94,3.43
524,6 7 11 13,7.5,90.10%,7.9,3.43
525,9 10 10 13,7.5,95.30%,7.95,3.08
526,1 2 3 9,7.51,96.40%,8.04,3.13
527,1 5 5 6,7.51,94.80%,8.01,3.08
528,2 2 6 6,7.51,95.80%,8.01,3.04
529,2 10 10 13,7.51,90.10%,7.71,2.92
530,4 7 9 9,7.51,86.50%,7.62,3.18
531,1 2 2 4,7.53,95.50%,7.84,2.43
532,2 3 4 12,7.53,94.40%,8.09,3.3
533,2 2 7 8,7.54,93.70%,7.88,2.99
534,2 6 6 13,7.54,85%,7.57,3.15
535,4 4 8 8,7.54,95.80%,8.17,3.21
536,4 8 12 13,7.54,91.80%,8.2,3.7
537,5 8 12 12,7.54,75.90%,6.87,3.62
538,1 2 4 13,7.55,93.60%,7.89,2.95
539,3 3 5 5,7.55,89.30%,7.77,3.16
540,3 5 5 7,7.55,90%,7.78,3.16
541,8 8 8 12,7.55,88.30%,7.95,4.03
542,1 8 9 13,7.56,91.30%,7.97,3.6
543,3 5 6 12,7.56,93.40%,8.08,3.24
544,4 4 7 9,7.56,93.20%,7.99,3.44
545,5 10 13 13,7.57,92.60%,8.01,2.8
546,3 6 10 12,7.58,93%,8.07,3.4
547,3 7 9 10,7.59,92%,8.17,3.53
548,2 6 6 11,7.61,83.30%,7.41,3.17
549,3 4 4 12,7.61,90.50%,7.94,3.33
550,1 2 12 13,7.62,96%,8.35,3.38
551,3 4 9 12,7.62,94.60%,8.08,3.11
552,2 7 8 8,7.63,92.40%,8.01,3.09
553,2 3 5 6,7.64,95.10%,8.06,2.94
554,2 8 12 13,7.64,89.40%,7.87,3.53
555,3 9 12 12,7.64,90.80%,8.2,3.46
556,2 4 4 13,7.65,85.40%,7.75,3.45
557,2 4 5 13,7.65,94.70%,8.24,3.3
558,1 3 8 12,7.66,96.70%,8.16,2.9
559,2 6 8 11,7.66,93.40%,8.1,3.36
560,9 11 13 13,7.66,92%,8.16,3.18
561,4 8 10 11,7.67,90.40%,8.02,3.49
562,8 9 11 13,7.69,90.70%,8.14,3.69
563,1 4 10 11,7.7,95%,8.16,3.2
564,1 9 11 11,7.7,89.70%,7.83,3.02
565,2 2 2 10,7.7,94.10%,8.13,3.33
566,2 4 4 11,7.7,84.60%,7.71,3.46
567,2 2 4 10,7.72,94.30%,8.05,2.91
568,4 5 7 8,7.72,95.60%,8.23,3.13
569,1 4 9 12,7.73,96%,8.4,3.38
570,3 3 4 12,7.73,95.10%,8.4,3.24
571,3 6 12 12,7.74,93.10%,8.3,3.52
572,4 7 9 10,7.74,90.60%,8.26,3.71
573,2 6 8 10,7.75,93.10%,8.24,3.44
574,2 6 11 13,7.75,89.90%,7.93,3.38
575,1 3 5 11,7.76,93%,8.07,2.83
576,3 4 4 9,7.76,91%,8.28,3.32
577,5 6 7 8,7.76,93.70%,8.26,3.13
578,1 2 2 5,7.78,94.40%,8.05,2.85
579,3 3 4 7,7.78,90.40%,8.29,3.59
580,3 6 6 9,7.78,96.20%,8.25,2.96
581,1 2 9 12,7.79,92.50%,8.36,3.8
582,5 6 10 10,7.8,86.80%,8.08,3.81
583,6 6 10 12,7.8,93.90%,8.22,3.11
584,1 2 4 11,7.81,91.80%,8.07,2.84
585,8 11 12 12,7.81,77.80%,7.28,3.56
586,1 6 9 13,7.82,90.60%,8.21,4.02
587,4 4 4 5,7.82,85%,7.84,3.78
588,5 6 6 6,7.84,87.60%,8,3.51
589,1 4 8 11,7.85,95.40%,8.3,2.89
590,1 5 6 10,7.85,91.50%,8.18,3.26
591,2 5 5 11,7.85,82.90%,7.73,3.44
592,3 5 8 11,7.86,89.60%,8.13,3.48
593,5 8 8 9,7.86,87.20%,8.1,3.92
594,2 2 9 11,7.87,91.70%,8.18,3.3
595,3 4 12 13,7.87,93.20%,8.45,3.68
596,6 6 7 10,7.87,84.10%,7.9,4.08
597,6 6 9 12,7.87,91.90%,8.17,3.36
598,2 7 7 11,7.88,86.30%,7.9,3.67
599,1 2 6 9,7.89,94.30%,8.45,3.57
600,1 4 4 10,7.89,92.20%,8.1,3.42
601,5 6 10 11,7.89,90.30%,8.2,3.51
602,2 2 4 8,7.9,95.80%,8.42,3.07
603,2 4 6 10,7.9,93.80%,8.34,3.38
604,3 12 12 12,7.9,90.90%,8.22,3.43
605,1 4 4 9,7.92,94.10%,8.35,3.4
606,3 6 7 9,7.92,93%,8.37,3.49
607,3 6 10 10,7.92,85.50%,7.91,3.7
608,4 5 10 11,7.92,88.20%,8.36,4.2
609,2 2 6 12,7.93,94.20%,8.52,3.5
610,6 7 8 10,7.93,91.60%,8.44,3.58
611,2 2 3 3,7.94,93.30%,8.3,3.25
612,10 12 13 13,7.94,94.30%,8.42,2.96
613,3 4 7 9,7.95,93.30%,8.42,3.75
614,4 6 8 9,7.95,93.30%,8.42,3.44
615,3 4 5 5,7.96,93.90%,8.65,3.72
616,3 7 12 12,7.96,91.20%,8.32,3.47
617,3 9 10 10,7.96,84.80%,7.84,3.5
618,7 8 11 13,7.96,90.30%,8.51,3.84
619,2 3 5 11,7.97,94.90%,8.51,3.32
620,3 12 12 13,7.97,92.60%,8.35,3.29
621,4 8 9 10,7.97,89%,8.19,3.38
622,8 10 13 13,7.97,92.50%,8.35,3.34
623,1 4 6 11,7.98,92.30%,8.29,3.24
624,5 8 8 13,7.98,92.60%,8.4,3.69
625,1 2 5 9,8,95%,8.51,3.11
626,2 5 6 13,8,91.40%,8.46,3.64
627,3 3 8 9,8,88.60%,8.38,3.93
628,3 4 10 12,8.02,92.60%,8.4,3.5
629,2 3 3 6,8.03,96.20%,8.49,2.94
630,4 5 8 9,8.03,89.20%,8.39,4.07
631,1 3 6 9,8.05,92.90%,8.58,3.29
632,3 7 10 11,8.05,90.50%,8.3,3.38
633,10 11 12 13,8.07,95.80%,8.67,3.5
634,2 3 4 8,8.08,92.70%,8.81,4.03
635,3 9 12 13,8.08,89.80%,8.55,4
636,4 4 6 12,8.09,94%,8.8,3.83
637,2 4 8 8,8.1,93.80%,8.76,4.09
638,4 7 9 12,8.1,94.90%,8.59,3.29
639,8 10 10 12,8.1,94.30%,8.58,3.44
640,2 2 3 7,8.11,88.30%,8.45,3.78
641,4 8 8 9,8.11,92.30%,8.34,3.08
642,2 7 8 11,8.12,94.80%,8.67,3.62
643,2 8 8 9,8.12,90.40%,8.42,3.39
644,4 10 12 12,8.12,92.10%,8.54,3.4
645,3 5 8 8,8.13,92.20%,8.57,3.9
646,2 7 11 12,8.15,91.60%,8.53,3.48
647,3 4 9 11,8.15,89.80%,8.41,4.01
648,4 5 9 10,8.15,90.70%,8.51,3.63
649,1 1 7 10,8.16,85.10%,8.25,4.32
650,1 4 9 11,8.16,94.30%,8.79,3.68
651,2 8 9 13,8.16,90.20%,8.45,3.62
652,2 4 9 13,8.17,93.60%,8.56,3.58
653,3 5 6 6,8.17,92.10%,8.71,3.64
654,3 7 8 12,8.17,95.10%,8.68,3.27
655,1 5 9 10,8.18,93.50%,8.67,3.81
656,2 7 9 10,8.18,94%,8.56,3.2
657,2 8 9 10,8.18,88.80%,8.4,3.83
658,4 6 8 12,8.18,94.20%,8.81,3.5
659,1 4 5 11,8.19,90.70%,8.48,3.93
660,2 5 6 7,8.19,92.50%,8.63,3.7
661,3 6 9 10,8.19,92.40%,8.55,3.61
662,2 4 8 12,8.2,94%,8.92,4.2
663,1 8 11 13,8.21,88.30%,8.33,3.57
664,1 3 6 13,8.22,91.90%,8.44,3.18
665,5 5 8 9,8.22,89.60%,8.69,3.92
666,2 4 8 11,8.24,92.70%,8.55,3.66
667,1 3 4 13,8.25,94.20%,8.81,3.69
668,1 5 5 13,8.25,93.10%,8.43,3.24
669,9 10 12 13,8.26,93.60%,8.84,3.62
670,4 4 10 12,8.27,90.70%,8.64,4
671,6 8 8 10,8.27,91%,8.72,4.04
672,2 2 4 11,8.28,91.60%,8.66,3.7
673,5 8 9 11,8.29,90%,8.57,3.71
674,2 2 6 10,8.3,95.20%,8.73,3.06
675,1 6 11 12,8.31,88.70%,8.28,2.96
676,5 5 8 8,8.31,84.80%,8.46,3.93
677,5 6 9 10,8.31,90.80%,8.82,3.83
678,2 5 10 11,8.33,94.20%,8.93,3.55
679,6 6 7 9,8.33,90.70%,8.69,3.72
680,2 8 8 11,8.35,83.90%,8.08,3.45
681,3 4 5 10,8.35,90.30%,8.69,4
682,1 2 8 9,8.36,93.30%,8.95,3.5
683,1 3 4 9,8.36,94.60%,8.85,3.81
684,1 3 12 12,8.36,85.70%,8.66,4.81
685,4 4 8 11,8.36,86.80%,8.37,3.72
686,5 8 11 13,8.36,88.70%,8.44,3.44
687,3 4 7 10,8.38,93.40%,8.64,3.49
688,2 4 4 4,8.39,94.60%,8.85,3.24
689,1 2 2 7,8.41,91.60%,8.74,3.36
690,3 6 8 9,8.42,93.80%,8.84,3.2
691,4 7 8 9,8.42,92.10%,8.82,3.72
692,1 4 9 10,8.43,93.40%,8.91,3.69
693,2 9 10 11,8.46,88.70%,8.38,3.33
694,2 3 3 7,8.47,92%,8.91,3.72
695,4 4 7 12,8.47,89.40%,8.85,4.16
696,1 2 6 13,8.48,90.70%,8.96,3.95
697,1 6 10 13,8.48,87.80%,8.7,4.11
698,6 8 10 13,8.48,86.60%,8.53,3.72
699,1 6 12 13,8.49,89.40%,8.56,3.32
700,2 9 12 13,8.49,90.60%,8.88,3.86
701,4 4 4 9,8.49,88.30%,8.52,4.02
702,5 6 10 13,8.49,91.30%,9.16,4.27
703,6 6 8 9,8.49,90.30%,8.78,3.52
704,3 3 7 11,8.5,92.10%,8.8,3.59
705,3 3 8 12,8.5,91.60%,9.03,3.91
706,2 4 7 10,8.51,91.20%,8.76,3.83
707,3 11 12 12,8.52,90.80%,8.79,3.3
708,2 4 6 6,8.53,94.10%,9.29,3.97
709,1 2 7 8,8.55,94.40%,9.09,3.56
710,3 6 7 12,8.55,90%,8.84,3.79
711,4 4 6 11,8.55,86.50%,8.62,4.46
712,6 6 9 11,8.55,88.80%,8.97,4.1
713,6 8 8 11,8.55,87.60%,8.7,3.91
714,5 7 8 8,8.56,82.80%,8.51,4.69
715,1 2 3 3,8.57,95.60%,8.92,2.97
716,1 3 4 10,8.57,93%,8.84,3.4
717,2 2 3 13,8.57,87.50%,8.61,3.64
718,2 3 10 13,8.57,93.50%,9.06,3.96
719,2 8 11 12,8.57,88.30%,8.81,4.16
720,2 10 11 13,8.58,89.50%,8.61,3.44
721,1 11 13 13,8.6,91.50%,8.96,3.81
722,2 4 7 11,8.6,92.70%,8.98,3.8
723,2 9 10 13,8.6,90.10%,9.17,4.1
724,2 2 4 13,8.62,91.10%,9.13,4.15
725,2 6 6 10,8.62,94.10%,9.06,3.63
726,4 5 8 12,8.62,93.40%,9.14,3.71
727,1 2 3 11,8.63,95.80%,9.03,3.41
728,3 7 7 13,8.63,93.60%,8.91,3.16
729,4 5 6 7,8.63,90.10%,9.02,3.86
730,7 8 8 11,8.64,80.80%,8.26,4.55
731,1 2 5 13,8.65,94.30%,9.18,3.67
732,1 2 9 13,8.65,93.40%,9.26,4.15
733,2 4 9 9,8.66,90.10%,8.8,3.84
734,1 4 6 7,8.67,87.20%,8.94,4.63
735,4 4 4 11,8.67,86.20%,8.86,4.65
736,2 2 8 10,8.68,94.40%,9.27,3.26
737,4 6 10 12,8.68,93.70%,9.26,3.97
738,2 6 7 8,8.69,89.70%,9.06,3.93
739,4 4 9 11,8.7,82.40%,8.41,4.5
740,1 3 9 13,8.71,93.90%,9.33,4.15
741,2 4 6 9,8.71,91.80%,9.12,4.17
742,2 4 10 13,8.72,89%,9.11,4.43
743,2 9 11 11,8.73,89.30%,9.14,4.05
744,1 3 4 7,8.74,95%,9.54,3.86
745,4 8 9 11,8.74,93%,9.24,3.93
746,6 8 9 13,8.74,93.90%,9.37,3.95
747,2 3 7 11,8.75,92%,9.14,4.21
748,2 8 9 11,8.76,90.70%,9.15,3.82
749,6 6 8 11,8.77,82.90%,8.51,4.48
750,3 9 9 10,8.79,86.60%,8.81,3.82
751,4 5 8 8,8.79,86.40%,8.82,4.06
752,6 6 8 10,8.79,90.20%,9.07,4.09
753,2 5 7 10,8.8,92.20%,9.23,3.75
754,4 5 9 13,8.81,89.30%,9.44,4.82
755,1 2 6 11,8.82,90.10%,9.3,4.3
756,1 3 8 8,8.82,86.70%,9.08,4.56
757,2 3 5 9,8.82,92.10%,9.37,4.34
758,9 10 11 13,8.82,89.80%,9.1,3.82
759,3 4 7 7,8.83,94.10%,9.48,3.84
760,4 11 12 13,8.83,91.30%,9.25,3.87
761,5 5 9 10,8.83,86.70%,9.15,4.39
762,4 4 8 10,8.86,91.30%,9.17,4.36
763,6 8 12 12,8.88,91.50%,9.6,4.31
764,3 5 9 12,8.9,89.90%,9.2,4.01
765,3 10 11 12,8.9,89.30%,9.06,3.72
766,4 8 8 12,8.9,94.60%,9.48,3.93
767,7 8 10 13,8.9,92.10%,9.43,4.1
768,3 5 6 9,8.91,92.70%,9.36,3.68
769,3 7 10 13,8.91,88.40%,9.36,4.71
770,5 6 6 10,8.92,89.10%,9.14,3.87
771,1 1 3 10,8.93,88.30%,8.95,3.87
772,1 2 4 5,8.93,90.70%,9.34,4.21
773,1 4 5 10,8.93,91.30%,9.06,3.61
774,1 4 6 9,8.93,86.10%,8.8,4
775,2 3 4 13,8.93,91%,9.28,3.95
776,1 5 5 9,8.94,88.40%,9.11,3.71
777,2 2 5 6,8.95,88.60%,9.25,4.43
778,3 4 4 5,8.95,91.10%,9.27,4.02
779,4 12 12 12,8.95,86.20%,9.26,4.75
780,1 3 5 10,8.97,93.30%,9.47,3.71
781,2 5 8 13,8.97,92.90%,9.47,3.91
782,4 4 8 13,8.98,86.70%,8.9,4.25
783,1 3 3 10,8.99,89.90%,9.11,4.11
784,2 11 12 13,9,89.70%,9.42,4.01
785,1 2 4 9,9.01,90.70%,9.34,3.91
786,4 5 5 9,9.01,91.30%,9.36,3.89
787,3 6 12 13,9.02,86.40%,8.98,4.34
788,2 2 3 6,9.03,91.70%,9.34,4.05
789,3 5 6 7,9.04,89.40%,9.08,3.83
790,5 5 6 7,9.04,90.90%,9.5,4.09
791,2 3 9 9,9.05,90.60%,9.44,4.01
792,2 2 5 7,9.06,89%,9.14,3.74
793,3 9 10 12,9.09,90.40%,9.29,3.7
794,4 7 10 10,9.09,83.80%,8.83,4.15
795,6 6 8 13,9.09,83.30%,8.83,4.34
796,1 5 9 11,9.1,93.10%,9.57,3.95
797,6 6 6 12,9.1,89.40%,9.31,4.53
798,1 5 6 8,9.12,90.20%,9.21,3.9
799,8 8 9 13,9.12,81.10%,8.69,4.72
800,2 5 8 9,9.13,92.60%,9.45,3.72
801,2 2 3 11,9.14,86.20%,9.17,4.17
802,2 3 6 10,9.15,92.30%,9.37,3.75
803,2 10 11 11,9.15,86.20%,9.1,3.97
804,6 8 11 13,9.15,86.20%,9.45,4.52
805,4 4 5 10,9.16,86.10%,9.21,4.74
806,5 10 10 12,9.16,87%,9.14,3.6
807,3 4 7 11,9.17,87.40%,9.22,4.68
808,2 2 5 11,9.19,87.50%,9.48,4.41
809,2 3 4 11,9.19,88.40%,9.36,4.16
810,1 3 5 7,9.23,89.80%,9.45,4.08
811,1 5 10 13,9.23,88.60%,9.23,3.46
812,5 7 8 9,9.25,89%,9.56,4.23
813,2 3 8 12,9.26,93%,9.76,3.8
814,2 8 8 10,9.26,92.70%,9.47,3.78
815,3 3 6 11,9.26,90.20%,9.69,4.44
816,3 5 5 9,9.26,83.30%,8.91,4.02
817,4 5 10 13,9.3,91.10%,9.75,4.4
818,8 8 8 13,9.3,84.70%,9.26,4.34
819,3 4 6 12,9.31,93.40%,9.87,3.98
820,3 7 8 9,9.31,86.90%,9.29,3.91
821,7 12 12 13,9.31,82.60%,9.04,4.24
822,1 1 4 10,9.32,85.20%,9.22,5.04
823,5 6 7 12,9.33,84.50%,9.24,4.33
824,1 2 7 9,9.34,93.30%,9.81,3.84
825,2 2 6 8,9.34,95.50%,9.78,3.6
826,2 3 4 4,9.34,94.10%,9.76,3.62
827,4 7 7 11,9.36,87.70%,9.63,4.63
828,2 3 3 9,9.39,93.20%,9.81,3.84
829,1 9 11 13,9.4,87.90%,9.59,4.13
830,3 9 11 12,9.4,90.10%,9.84,4.41
831,3 7 7 10,9.41,89.30%,9.67,4.28
832,4 5 7 12,9.41,87.70%,9.35,3.92
833,3 3 3 9,9.44,84.10%,9.41,4.81
834,5 8 9 12,9.45,92.30%,9.87,4.01
835,2 4 4 7,9.46,89.50%,9.63,4.32
836,5 11 12 12,9.46,82.60%,9.05,4.19
837,3 4 5 9,9.47,85.10%,9.3,4.52
838,3 3 4 9,9.48,92.10%,9.77,3.83
839,5 9 9 11,9.48,89.40%,9.74,3.89
840,4 5 5 7,9.49,82.60%,9.12,4.26
841,2 5 6 10,9.51,88.10%,9.58,4.48
842,3 4 6 10,9.52,90%,10,4.77
843,3 8 9 12,9.52,90%,9.93,4.46
844,6 6 6 8,9.52,91.30%,9.86,4.28
845,1 6 9 10,9.54,91.90%,9.82,3.8
846,2 3 6 11,9.56,90.30%,9.93,4.44
847,4 7 11 12,9.56,86.30%,9.74,4.78
848,2 6 8 8,9.57,92.60%,9.94,4.09
849,2 3 8 11,9.59,92.60%,10.18,4.08
850,2 4 5 9,9.6,86.50%,9.65,4.67
851,4 5 7 11,9.6,87.30%,9.78,4.93
852,2 7 9 13,9.61,87.30%,9.84,4.85
853,4 7 8 13,9.61,90.80%,10.09,4.38
854,5 6 8 9,9.61,90%,9.92,4.4
855,3 3 5 9,9.63,87.10%,9.61,3.97
856,3 7 8 13,9.65,84.10%,9.61,4.89
857,3 3 6 9,9.66,94.30%,10.33,4.11
858,3 5 9 13,9.66,91.40%,10.02,4.08
859,6 6 8 12,9.66,90.90%,10,4.28
860,2 2 4 9,9.67,90.60%,9.95,4.32
861,1 7 12 12,9.68,80.20%,8.91,4.39
862,4 4 5 7,9.71,85.10%,9.43,4.52
863,3 8 8 11,9.73,89.70%,9.92,4.56
864,3 3 7 9,9.76,90.70%,9.95,3.78
865,4 9 12 12,9.78,89.50%,10.25,4.41
866,1 5 6 13,9.8,90.30%,10.14,4.67
867,2 3 9 13,9.8,87.60%,10.09,5.26
868,1 5 5 11,9.81,87.90%,9.91,4.16
869,6 6 8 8,9.81,85.90%,9.68,4.4
870,2 3 4 10,9.82,91.90%,10.25,4.26
871,2 4 6 13,9.83,87.30%,10.08,5.06
872,4 9 9 10,9.83,90%,10.09,4.09
873,5 6 9 12,9.84,87.30%,9.89,4.32
874,2 4 5 11,9.86,87.30%,10.06,4.71
875,6 7 9 12,9.87,86.70%,9.76,4.74
876,3 3 3 5,9.89,85.60%,9.57,4.06
877,6 12 13 13,9.89,87.40%,9.95,3.84
878,6 9 10 11,9.9,91.40%,10.22,4.1
879,1 7 9 10,9.93,86.90%,9.87,3.95
880,2 2 2 5,9.93,78.70%,9.07,4.76
881,1 2 5 10,9.96,91.80%,10.18,4.03
882,5 7 9 13,9.96,91%,10.39,4.07
883,3 3 6 10,9.97,86.50%,9.84,4.27
884,4 4 6 13,9.97,82.70%,9.51,5.06
885,6 11 11 12,9.99,86.50%,9.88,3.99
886,6 10 12 12,10,88.90%,10.25,4.56
887,3 6 9 11,10.03,86.80%,9.93,4.67
888,6 8 9 11,10.03,84.50%,9.92,4.73
889,4 9 11 12,10.04,88.80%,10.25,4.31
890,1 3 3 11,10.05,88.30%,9.99,4.67
891,3 4 4 13,10.06,88.90%,10.18,4.26
892,3 4 5 6,10.07,84.10%,10,5.04
893,4 6 7 10,10.07,86.70%,10.2,4.79
894,1 8 10 11,10.08,87.20%,10.07,3.45
895,3 4 8 11,10.08,87.10%,10.11,4.98
896,2 4 12 12,10.09,85.80%,10.06,4.73
897,5 5 5 9,10.09,87.70%,9.85,4.11
898,4 5 6 10,10.1,90.50%,10.62,4.44
899,1 2 4 7,10.12,89.50%,10.49,4.94
900,7 8 9 13,10.12,84.10%,9.8,4.28
901,2 5 8 11,10.13,86.10%,10.32,5.14
902,2 6 12 12,10.13,88.90%,10.55,5.13
903,3 3 6 13,10.13,86.30%,10.38,5.35
904,2 3 6 9,10.14,93.30%,10.62,4.19
905,6 7 8 9,10.14,84.50%,9.82,4.48
906,1 11 11 13,10.15,87.90%,10.16,4.35
907,5 5 6 11,10.15,87.10%,10.08,4.6
908,1 2 8 13,10.16,91.40%,10.45,4.75
909,1 5 10 11,10.18,86.30%,9.99,3.67
910,6 8 9 9,10.18,86.30%,10.15,4.15
911,3 3 7 12,10.2,84.60%,10.15,5.35
912,2 4 8 9,10.22,83.90%,9.96,4.58
913,4 6 6 9,10.22,87.90%,10.59,5.33
914,3 4 6 11,10.23,89%,10.45,4.59
915,1 3 5 9,10.25,90.60%,10.52,4.51
916,1 4 4 8,10.25,89.70%,10.52,5.49
917,2 4 6 12,10.27,94.40%,11.09,4.78
918,1 5 9 13,10.28,84.90%,10.22,4.82
919,4 7 9 13,10.29,84.30%,10.41,5.76
920,4 5 7 9,10.3,86.70%,10.57,5.1
921,1 4 5 13,10.31,87.70%,10.43,4.58
922,3 6 9 12,10.31,92.90%,10.79,4.19
923,6 9 12 13,10.31,88.40%,10.5,4.31
924,3 3 6 7,10.34,88.90%,10.75,4.64
925,2 4 6 7,10.36,90%,10.47,4.3
926,5 5 8 10,10.37,81.40%,9.78,4.02
927,5 6 8 12,10.38,87.90%,10.39,4.1
928,7 9 9 13,10.38,88%,10.39,4.65
929,2 2 7 12,10.39,83.10%,9.92,4.5
930,6 7 8 11,10.39,83.70%,10.18,5.02
